Name,Party,Position,Speech Count,Speech Contents
平山たかお,assembly,委員長,0,
北尾ゆか,assembly,副委員長,0,
西山信昌,assembly,副委員長,0,
下村あきら,assembly,委員,0,
寺田一博,assembly,委員,0,
椋田隆知,assembly,委員,0,
大津裕太,assembly,委員,0,
久保田正紀,assembly,委員,0,
北山ただお,assembly,委員,0,
山田こうじ,assembly,委員,0,
平山よしかず,assembly,委員,0,
吉田孝雄,assembly,委員,0,
片桐直哉,assembly,委員,0,
北村信幸,witness,公営企業管理者（交通局長）,0,
吉川雅則,witness,公営企業管理者（上下水道局長）,0,
砂川敬,witness,産業・文化融合戦略監（産業観光局）,0,
松下重志,witness,産業企画室長,0,
山下信一,witness,産業企画室ひと・しごと環境整備担当部長,0,
宮田一行,witness,企業誘致推進室長,0,
野口穂高,witness,地域企業イノベーション推進室長,0,
後藤司,witness,クリエイティブ産業振興室長,0,
大塚健志,witness,次長（交通局）,0,
米津好美,witness,企画総務部長（交通局）,0,
上田和樹,witness,企画総務部計画推進担当部長（交通局）,0,
金田ひろ野,witness,企画総務部営業推進担当部長（交通局）,0,
西山真司,witness,自動車部長（交通局）,0,
児玉宜治,witness,自動車部担当部長（交通局）,0,
塩見康裕,witness,高速鉄道部長（交通局）,0,
日下部徹,witness,次長（上下水道局）,0,
中野晋,witness,総務部長（上下水道局）,0,
谷口淳,witness,総務部担当部長（上下水道局）,0,
橋本悟,witness,総務部お客さまサービス推進室長（上下水道局）,0,
福田達也,witness,経営戦略室長（上下水道局）,0,
藤井啓祐,witness,水道部長（上下水道局）,0,
谷田聡,witness,下水道部長（上下水道局）,0,
中西哲也,witness,下水道部担当部長（上下水道局）,0,
